spade, 3.769762
feast, 3.769762
glare, 3.769762
until, 3.770194
court, 3.770626
polar, 3.770626
blunt, 3.770626
teary, 3.770626
beard, 3.770626
nurse, 3.770626
those, 3.771058
score, 3.771058
recut, 3.771058
noise, 3.771058
blind, 3.771058
grail, 3.771058
spout, 3.771490
grain, 3.771490
tulip, 3.771922
scold, 3.771922
blame, 3.771922
adult, 3.771922
cloth, 3.772354
clout, 3.772354
arose, 3.772354
faint, 3.772786
burnt, 3.772786
curse, 3.772786
brine, 3.772786
scion, 3.772786
tubal, 3.772786
singe, 3.772786
bread, 3.773218
prime, 3.773218
earth, 3.773218
miner, 3.773218
midst, 3.773218
cramp, 3.773218
perch, 3.773650
shorn, 3.773650
scald, 3.774082
orbit, 3.774082
onset, 3.774514
sedan, 3.774514
liner, 3.774514
stead, 3.774514
retch, 3.774946
brunt, 3.774946
brain, 3.774946
grand, 3.775378
wrest, 3.775378
chord, 3.775378
metro, 3.775378
boast, 3.775378
stamp, 3.775378
large, 3.775810
heron, 3.775810
filet, 3.775810
olden, 3.775810
angle, 3.776242
mince, 3.776242
topic, 3.776242
loser, 3.776242
prune, 3.776674
gripe, 3.776674
comet, 3.776674
horse, 3.776674
tiger, 3.776674
prong, 3.777106
edict, 3.777106
rapid, 3.777106
lithe, 3.777538
range, 3.777538
cleft, 3.777538
spend, 3.777970
spurn, 3.777970
realm, 3.778402
ample, 3.778402
abort, 3.778402
along, 3.778402
frond, 3.778834
built, 3.778834
worst, 3.778834
bacon, 3.778834
shear, 3.779266
erupt, 3.779266
solid, 3.779266
hater, 3.779266
relic, 3.779266
adopt, 3.779266
groin, 3.779698
loath, 3.780130
goner, 3.780562
borne, 3.780562
scout, 3.780562
mason, 3.780562
slang, 3.780562
caput, 3.780562
inept, 3.780994
torch, 3.781425
sleet, 3.781425
groan, 3.781425
glade, 3.781425
clank, 3.781425
abled, 3.781425
crash, 3.781857
lathe, 3.781857
super, 3.781857
manic, 3.781857
suite, 3.781857
tepid, 3.781857
decor, 3.782289
intro, 3.782289
sauce, 3.782289
cling, 3.782289
drift, 3.782289
ascot, 3.782289
medal, 3.782289
grape, 3.782289
angst, 3.782721
dunce, 3.782721
finer, 3.783585
float, 3.783585
haunt, 3.783585
grunt, 3.784017
waist, 3.784017
tunic, 3.784017
tumor, 3.784017
rabid, 3.784017
chain, 3.784017
write, 3.784017
adept, 3.784449
shore, 3.784449
chase, 3.784449
spied, 3.784449
stomp, 3.784449
clash, 3.784881
cloud, 3.784881
smear, 3.784881
crave, 3.784881
patch, 3.785313
patio, 3.785313
death, 3.785313
sepia, 3.785313
trawl, 3.785745
hoist, 3.785745
cameo, 3.785745
cause, 3.786177
melon, 3.786609
refit, 3.786609
unset, 3.786609
aloft, 3.786609
pitch, 3.786609
crony, 3.787041
probe, 3.787041
baron, 3.787041
sound, 3.787041
agile, 3.787041
pound, 3.787473
reign, 3.787473
solar, 3.787905
pinch, 3.787905
randy, 3.788337
dream, 3.788769
pause, 3.788769
croup, 3.789201
cheap, 3.789201
draft, 3.789201
lemon, 3.789201
moral, 3.789201
fecal, 3.789201
uncle, 3.789201
molar, 3.789633
credo, 3.789633
prude, 3.790065
match, 3.790065
grade, 3.790065
basil, 3.790065
piano, 3.790497
fetal, 3.790497
peach, 3.790497
flare, 3.790929
ocean, 3.791361
crown, 3.791361
braid, 3.791793
model, 3.791793
utile, 3.792225
ralph, 3.792225
debit, 3.792225
moult, 3.792225
labor, 3.792225
clued, 3.792657
slink, 3.792657
facet, 3.792657
regal, 3.792657
trump, 3.792657
grope, 3.792657
